id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5206,https://www.losmundialesdefutbol.com/jugadores/claudio_lezcano.php,Claudio Lezcano,,,,Delantero,68,,,1,0,0,0
5207,https://www.losmundialesdefutbol.com/jugadores/juan_lezcano.php,Juan Lezcano,,5 de abril de 1937,,Defensor,68,,,1,3,0,0
5208,https://www.losmundialesdefutbol.com/jugadores/chi_an_li.php,Chi An Li,,7 de julio de 1945,,Delantero,23,,,1,0,0,0
5209,https://www.losmundialesdefutbol.com/jugadores/jong_kap_li.php,Jong Kap Li,,18 de marzo de 1920,,Defensor,24,,,1,1,0,0
5210,https://www.losmundialesdefutbol.com/jugadores/ki_joo_li.php,Ki Joo Li,,12 de noviembre de 1926,,Delantero,24,,,1,1,0,0
5211,https://www.losmundialesdefutbol.com/jugadores/sao_nam_li.php,Sao Nam Li,,1 de enero de 1927,,Delantero,24,,,1,1,0,0
5212,https://www.losmundialesdefutbol.com/jugadores/tie_li.php,Tie Li,,18 de septiembre de 1977,,Mediocampista,21,183,,1,3,0,0
5213,https://www.losmundialesdefutbol.com/jugadores/weifeng_li.php,Weifeng Li,,26 de enero de 1978,,Defensor,21,182,,1,3,0,0
5214,https://www.losmundialesdefutbol.com/jugadores/xiaopeng_li.php,Xiaopeng Li,,5 de noviembre de 1976,,Mediocampista,21,182,,1,3,0,0
5215,https://www.losmundialesdefutbol.com/jugadores/ernest_liberati.php,Ernest Liberati,,22 de marzo de 1908,,Delantero,40,,,1,3,0,0
5216,https://www.losmundialesdefutbol.com/jugadores/thomas_libiih.php,Thomas Libiih,,17 de noviembre de 1967,,Mediocampista,16,,,2,5,0,0
5217,https://www.losmundialesdefutbol.com/jugadores/stephan_lichtsteiner.php,Stephan Lichtsteiner,Stephan Lichtsteiner,16 de enero de 1984,,"Defensor, Mediocampista",82,180,,3,10,0,0
5218,https://www.losmundialesdefutbol.com/jugadores/werner_liebrich.php,Werner Liebrich,,18 de enero de 1927,,Defensor,2,,,1,4,0,0
5219,https://www.losmundialesdefutbol.com/jugadores/noel_lietaer.php,Noel Lietaer,,17 de noviembre de 1908,,Mediocampista,40,,,1,1,0,0
5220,https://www.losmundialesdefutbol.com/jugadores/gheorghe_liliac.php,Gheorghe Liliac,,22 de abril de 1959,,Arquero,75,,,1,0,0,0
5221,https://www.losmundialesdefutbol.com/jugadores/zoong_sun_lim.php,Zoong Sun Lim,,16 de julio de 1943,,Defensor,23,,,1,4,0,0
5222,https://www.losmundialesdefutbol.com/jugadores/lima.php,Lima,,18 de enero de 1942,,Mediocampista,12,,,1,3,0,0
5223,https://www.losmundialesdefutbol.com/jugadores/nejib_liman.php,Nejib Liman,,12 de junio de 1953,,Delantero,86,,,1,0,0,0
